leftWins	rightWins	leftPlayerName	rightPlayerName	draws	tourneyName
1	4	Andy le Fake	Bob le Fake	0	long tourney example, 400 bouts
4	0	Carl le Fake	Bob le Fake	0	long tourney example, 400 bouts
3	2	Doug le Fake	Bob le Fake	0	long tourney example, 400 bouts
3	3	Ellen le Fake	Bob le Fake	0	long tourney example, 400 bouts
4	4	Fran le Fake	Bob le Fake	0	long tourney example, 400 bouts
4	1	Grace le Fake	Bob le Fake	0	long tourney example, 400 bouts
3	1	Hugh le Fake	Bob le Fake	0	long tourney example, 400 bouts
3	1	Inez le Fake	Bob le Fake	0	long tourney example, 400 bouts
5	0	John le Fake	Bob le Fake	0	long tourney example, 400 bouts
2	2	Andy le Fake	Carl le Fake	0	long tourney example, 400 bouts
0	2	Bob le Fake	Carl le Fake	0	long tourney example, 400 bouts
2	4	Doug le Fake	Carl le Fake	0	long tourney example, 400 bouts
4	2	Ellen le Fake	Carl le Fake	0	long tourney example, 400 bouts
3	2	Fran le Fake	Carl le Fake	0	long tourney example, 400 bouts
2	0	Grace le Fake	Carl le Fake	0	long tourney example, 400 bouts
3	1	Hugh le Fake	Carl le Fake	0	long tourney example, 400 bouts
1	0	Inez le Fake	Carl le Fake	0	long tourney example, 400 bouts
5	1	John le Fake	Carl le Fake	0	long tourney example, 400 bouts
0	4	Andy le Fake	Doug le Fake	0	long tourney example, 400 bouts
1	3	Bob le Fake	Doug le Fake	0	long tourney example, 400 bouts
1	2	Carl le Fake	Doug le Fake	0	long tourney example, 400 bouts
3	0	Ellen le Fake	Doug le Fake	0	long tourney example, 400 bouts
1	0	Fran le Fake	Doug le Fake	0	long tourney example, 400 bouts
2	2	Grace le Fake	Doug le Fake	0	long tourney example, 400 bouts
3	1	Hugh le Fake	Doug le Fake	0	long tourney example, 400 bouts
3	2	Inez le Fake	Doug le Fake	0	long tourney example, 400 bouts
4	0	John le Fake	Doug le Fake	0	long tourney example, 400 bouts
1	4	Andy le Fake	Ellen le Fake	0	long tourney example, 400 bouts
1	3	Bob le Fake	Ellen le Fake	0	long tourney example, 400 bouts
1	2	Carl le Fake	Ellen le Fake	0	long tourney example, 400 bouts
