leftWins	rightWins	leftPlayerName	rightPlayerName	draws	tourneyName
14	27	Andy le Fake	Bob le Fake	0	long tourney example, 4000 bouts
30	14	Carl le Fake	Bob le Fake	0	long tourney example, 4000 bouts
26	9	Doug le Fake	Bob le Fake	0	long tourney example, 4000 bouts
41	12	Ellen le Fake	Bob le Fake	0	long tourney example, 4000 bouts
51	11	Fran le Fake	Bob le Fake	0	long tourney example, 4000 bouts
27	12	Grace le Fake	Bob le Fake	0	long tourney example, 4000 bouts
40	10	Hugh le Fake	Bob le Fake	0	long tourney example, 4000 bouts
42	4	Inez le Fake	Bob le Fake	0	long tourney example, 4000 bouts
35	5	John le Fake	Bob le Fake	0	long tourney example, 4000 bouts
14	40	Andy le Fake	Carl le Fake	0	long tourney example, 4000 bouts
23	28	Bob le Fake	Carl le Fake	0	long tourney example, 4000 bouts
24	20	Doug le Fake	Carl le Fake	0	long tourney example, 4000 bouts
32	16	Ellen le Fake	Carl le Fake	0	long tourney example, 4000 bouts
40	13	Fran le Fake	Carl le Fake	0	long tourney example, 4000 bouts
28	11	Grace le Fake	Carl le Fake	0	long tourney example, 4000 bouts
27	9	Hugh le Fake	Carl le Fake	0	long tourney example, 4000 bouts
34	8	Inez le Fake	Carl le Fake	0	long tourney example, 4000 bouts
39	12	John le Fake	Carl le Fake	0	long tourney example, 4000 bouts
13	37	Andy le Fake	Doug le Fake	0	long tourney example, 4000 bouts
11	22	Bob le Fake	Doug le Fake	0	long tourney example, 4000 bouts
14	28	Carl le Fake	Doug le Fake	0	long tourney example, 4000 bouts
29	17	Ellen le Fake	Doug le Fake	0	long tourney example, 4000 bouts
23	14	Fran le Fake	Doug le Fake	0	long tourney example, 4000 bouts
23	18	Grace le Fake	Doug le Fake	0	long tourney example, 4000 bouts
36	13	Hugh le Fake	Doug le Fake	0	long tourney example, 4000 bouts
35	18	Inez le Fake	Doug le Fake	0	long tourney example, 4000 bouts
41	14	John le Fake	Doug le Fake	0	long tourney example, 4000 bouts
5	34	Andy le Fake	Ellen le Fake	0	long tourney example, 4000 bouts
12	37	Bob le Fake	Ellen le Fake	0	long tourney example, 4000 bouts
20	20	Carl le Fake	Ellen le Fake	0	long tourney example, 4000 bouts
28	29	Doug le Fake	Ellen le Fake	0	long tourney example, 4000 bouts
21	23	Fran le Fake	Ellen le Fake	0	long tourney example, 4000 bouts
28	19	Grace le Fake	Ellen le Fake	0	long tourney example, 4000 bouts
28	12	Hugh le Fake	Ellen le Fake	0	long tourney example, 4000 bouts
30	17	Inez le Fake	Ellen le Fake	0	long tourney example, 4000 bouts
32	20	John le Fake	Ellen le Fake	0	long tourney example, 4000 bouts
10	41	Andy le Fake	Fran le Fake	0	long tourney example, 4000 bouts
9	40	Bob le Fake	Fran le Fake	0	long tourney example, 4000 bouts
10	32	Carl le Fake	Fran le Fake	0	long tourney example, 4000 bouts
15	32	Doug le Fake	Fran le Fake	0	long tourney example, 4000 bouts
