leftWins	rightWins	leftPlayerName	rightPlayerName	draws	tourneyName
0	1	Andy le Fake	Bob le Fake	0	long tourney example, 80 bouts
2	0	Fran le Fake	Bob le Fake	0	long tourney example, 80 bouts
1	0	Grace le Fake	Bob le Fake	0	long tourney example, 80 bouts
1	0	Hugh le Fake	Bob le Fake	0	long tourney example, 80 bouts
1	0	John le Fake	Bob le Fake	0	long tourney example, 80 bouts
0	1	Andy le Fake	Carl le Fake	0	long tourney example, 80 bouts
1	0	Bob le Fake	Carl le Fake	0	long tourney example, 80 bouts
2	0	Doug le Fake	Carl le Fake	0	long tourney example, 80 bouts
1	0	Ellen le Fake	Carl le Fake	0	long tourney example, 80 bouts
1	1	Fran le Fake	Carl le Fake	0	long tourney example, 80 bouts
2	0	Grace le Fake	Carl le Fake	0	long tourney example, 80 bouts
0	1	Hugh le Fake	Carl le Fake	0	long tourney example, 80 bouts
1	2	Inez le Fake	Carl le Fake	0	long tourney example, 80 bouts
0	1	Andy le Fake	Hugh le Fake	0	long tourney example, 80 bouts
0	2	Bob le Fake	Hugh le Fake	0	long tourney example, 80 bouts
1	0	Doug le Fake	Hugh le Fake	0	long tourney example, 80 bouts
0	2	Ellen le Fake	Hugh le Fake	0	long tourney example, 80 bouts
1	2	Fran le Fake	Hugh le Fake	0	long tourney example, 80 bouts
0	1	Grace le Fake	Hugh le Fake	0	long tourney example, 80 bouts
0	1	Inez le Fake	Hugh le Fake	0	long tourney example, 80 bouts
0	1	Andy le Fake	John le Fake	0	long tourney example, 80 bouts
0	1	Bob le Fake	John le Fake	0	long tourney example, 80 bouts
1	1	Fran le Fake	John le Fake	0	long tourney example, 80 bouts
0	1	Hugh le Fake	John le Fake	0	long tourney example, 80 bouts
1	0	Bob le Fake	Andy le Fake	0	long tourney example, 80 bouts
1	1	Carl le Fake	Andy le Fake	0	long tourney example, 80 bouts
1	0	Ellen le Fake	Andy le Fake	0	long tourney example, 80 bouts
2	0	Grace le Fake	Andy le Fake	0	long tourney example, 80 bouts
1	0	Hugh le Fake	Andy le Fake	0	long tourney example, 80 bouts
2	0	John le Fake	Andy le Fake	0	long tourney example, 80 bouts
1	0	Bob le Fake	Ellen le Fake	0	long tourney example, 80 bouts
1	0	Carl le Fake	Ellen le Fake	0	long tourney example, 80 bouts
1	0	Doug le Fake	Ellen le Fake	0	long tourney example, 80 bouts
1	0	Fran le Fake	Ellen le Fake	0	long tourney example, 80 bouts
0	1	Inez le Fake	Ellen le Fake	0	long tourney example, 80 bouts
0	1	Bob le Fake	Fran le Fake	0	long tourney example, 80 bouts
2	0	Doug le Fake	Fran le Fake	0	long tourney example, 80 bouts
1	1	Ellen le Fake	Fran le Fake	0	long tourney example, 80 bouts
1	1	Grace le Fake	Fran le Fake	0	long tourney example, 80 bouts
1	0	Hugh le Fake	Fran le Fake	0	long tourney example, 80 bouts
1	0	Inez le Fake	Fran le Fake	0	long tourney example, 80 bouts
1	1	John le Fake	Fran le Fake	0	long tourney example, 80 bouts
1	0	Bob le Fake	Grace le Fake	0	long tourney example, 80 bouts
1	0	Doug le Fake	Grace le Fake	0	long tourney example, 80 bouts
0	2	Fran le Fake	Grace le Fake	0	long tourney example, 80 bouts
1	0	John le Fake	Grace le Fake	0	long tourney example, 80 bouts
1	0	Carl le Fake	Doug le Fake	0	long tourney example, 80 bouts
1	0	Fran le Fake	Doug le Fake	0	long tourney example, 80 bouts
1	0	Hugh le Fake	Doug le Fake	0	long tourney example, 80 bouts
3	1	John le Fake	Doug le Fake	0	long tourney example, 80 bouts
0	1	Carl le Fake	Inez le Fake	0	long tourney example, 80 bouts
1	0	Doug le Fake	Inez le Fake	0	long tourney example, 80 bouts
1	0	Ellen le Fake	Inez le Fake	0	long tourney example, 80 bouts
0	2	Fran le Fake	Inez le Fake	0	long tourney example, 80 bouts
1	1	Grace le Fake	Inez le Fake	0	long tourney example, 80 bouts
1	0	John le Fake	Inez le Fake	0	long tourney example, 80 bouts
