leftWins	rightWins	leftPlayerName	rightPlayerName	draws	tourneyName
0	1	Andy le Fake	Bob le Fake	0	long tourney example, 40 bouts
1	1	Carl le Fake	Bob le Fake	0	long tourney example, 40 bouts
1	0	Doug le Fake	Bob le Fake	0	long tourney example, 40 bouts
1	0	John le Fake	Bob le Fake	0	long tourney example, 40 bouts
0	1	Andy le Fake	Carl le Fake	0	long tourney example, 40 bouts
0	1	Fran le Fake	Carl le Fake	0	long tourney example, 40 bouts
0	1	Andy le Fake	Doug le Fake	0	long tourney example, 40 bouts
1	0	Grace le Fake	Doug le Fake	0	long tourney example, 40 bouts
1	0	John le Fake	Doug le Fake	0	long tourney example, 40 bouts
1	0	Andy le Fake	Hugh le Fake	0	long tourney example, 40 bouts
0	1	Bob le Fake	Hugh le Fake	0	long tourney example, 40 bouts
0	1	Doug le Fake	Hugh le Fake	0	long tourney example, 40 bouts
1	0	Ellen le Fake	Hugh le Fake	0	long tourney example, 40 bouts
2	1	Andy le Fake	Inez le Fake	0	long tourney example, 40 bouts
0	1	Bob le Fake	Inez le Fake	0	long tourney example, 40 bouts
0	1	Carl le Fake	Inez le Fake	0	long tourney example, 40 bouts
0	1	Grace le Fake	Inez le Fake	0	long tourney example, 40 bouts
1	0	Hugh le Fake	Inez le Fake	0	long tourney example, 40 bouts
1	1	Carl le Fake	Ellen le Fake	0	long tourney example, 40 bouts
0	1	Doug le Fake	Ellen le Fake	0	long tourney example, 40 bouts
1	0	John le Fake	Ellen le Fake	0	long tourney example, 40 bouts
1	0	Carl le Fake	Fran le Fake	0	long tourney example, 40 bouts
1	0	Grace le Fake	Fran le Fake	0	long tourney example, 40 bouts
1	0	Hugh le Fake	Fran le Fake	0	long tourney example, 40 bouts
0	1	Inez le Fake	Fran le Fake	0	long tourney example, 40 bouts
0	1	Carl le Fake	John le Fake	0	long tourney example, 40 bouts
4	0	Doug le Fake	Andy le Fake	0	long tourney example, 40 bouts
2	0	Grace le Fake	Andy le Fake	0	long tourney example, 40 bouts
0	1	Hugh le Fake	Andy le Fake	0	long tourney example, 40 bouts
0	2	Doug le Fake	Grace le Fake	0	long tourney example, 40 bouts
0	1	Hugh le Fake	Grace le Fake	0	long tourney example, 40 bouts
